Name,Slack,Levels,High Fanout,From,To,Total Delay,Logic Delay,Net Delay,Requirement,Source Clock,Destination Clock,Exception,Clock Uncertainty
Path 1,-0.27,15,8,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/ell_rhs0__1_i_20_psdsp/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_2213_comp_psdsp_2/D,4.94,3.45,1.50,5.00,clk_pl_0,clk_pl_0,,0.14
Path 2,-0.26,16,32,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/ell_rhs0__1_i_20_psdsp/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_1619_comp_psdsp_1/D,5.05,3.42,1.63,5.00,clk_pl_0,clk_pl_0,,0.14
Path 3,-0.26,15,8,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/ell_rhs0__1_i_20_psdsp/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_1945_comp_psdsp_2/D,4.94,3.45,1.49,5.00,clk_pl_0,clk_pl_0,,0.14
Path 4,-0.26,16,32,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/ell_rhs0__1_i_20_psdsp/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_1574_comp_psdsp_1/D,4.94,3.42,1.52,5.00,clk_pl_0,clk_pl_0,,0.14
Path 5,-0.26,16,32,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/ell_rhs0__1_i_20_psdsp/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_1626_comp_psdsp_1/D,4.94,3.42,1.52,5.00,clk_pl_0,clk_pl_0,,0.14
Path 6,-0.25,16,32,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/ell_rhs0__1_i_20_psdsp/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_2217_psdsp/D,4.93,3.42,1.51,5.00,clk_pl_0,clk_pl_0,,0.14
Path 7,-0.25,10,8,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/ell_sa2_reg[16]__1/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_2388_comp_psdsp_2/D,4.93,3.22,1.70,5.00,clk_pl_0,clk_pl_0,,0.14
Path 8,-0.25,10,8,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/ell_sa2_reg[16]__1/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_1727_comp_psdsp_1/D,4.93,3.22,1.70,5.00,clk_pl_0,clk_pl_0,,0.14
Path 9,-0.25,12,127,cytometer_platform_i/signal_analyzer_0/ell_t20_i_40/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_1722_comp_psdsp/D,5.02,3.29,1.73,5.00,clk_pl_0,clk_pl_0,,0.14
Path 10,-0.24,10,8,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/ell_sa2_reg[16]__1/C,cytometer_platform_i/signal_analyzer_0/inst/signal_analyzer_v1_0_S00_AXI_inst/u_gate_judge/result_reg_i_1728_comp_psdsp_1/D,4.92,3.22,1.70,5.00,clk_pl_0,clk_pl_0,,0.14
